                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                 0.8061,                0.55337,                 1.0532,                0.90237,                0.81667,                0.89784,                0.66312,                0.98586,                0.59028,                 1.1335,              8.591e-05,              8.591e-05,              8.591e-05
                     90,                0.79972,                0.54592,                 1.0534,                0.90796,                0.81344,                0.89648,                0.66347,                0.98937,                0.59173,                  1.139,             7.9306e-05,             7.9306e-05,             7.9306e-05
                     91,                0.77978,                0.47702,                 1.0221,                0.91408,                0.80677,                0.89505,                 0.6584,                0.99654,                0.59588,                 1.1456,             7.2703e-05,             7.2703e-05,             7.2703e-05
                     92,                0.76621,                0.45656,                 1.0148,                0.89714,                0.81896,                0.89544,                0.65983,                0.99093,                0.58841,                 1.1427,               6.61e-05,               6.61e-05,               6.61e-05
                     93,                0.75938,                0.45306,                 1.0144,                0.89611,                0.82252,                0.89333,                0.66153,                0.98988,                0.58249,                 1.1413,             5.9496e-05,             5.9496e-05,             5.9496e-05
                     94,                 0.7529,                0.44583,                 1.0087,                0.89631,                 0.8244,                 0.8931,                0.66092,                0.99105,                0.57896,                 1.1414,             5.2893e-05,             5.2893e-05,             5.2893e-05
                     95,                0.75018,                0.44027,                 1.0058,                0.90429,                0.81659,                0.89328,                0.66222,                0.99285,                0.58071,                 1.1423,              4.629e-05,              4.629e-05,              4.629e-05
                     96,                0.74367,                0.43912,                 1.0054,                0.90162,                0.82737,                0.89446,                 0.6643,                0.98951,                0.58047,                  1.142,             3.9687e-05,             3.9687e-05,             3.9687e-05
                     97,                0.73984,                0.43807,                 1.0011,                0.90077,                0.82651,                0.89373,                0.66327,                0.98907,                0.57829,                 1.1409,             3.3083e-05,             3.3083e-05,             3.3083e-05
                     98,                0.74021,                0.43421,                 1.0034,                0.89734,                0.82456,                0.89372,                0.66366,                0.99003,                0.58064,                 1.1429,              2.648e-05,              2.648e-05,              2.648e-05
                     99,                0.73971,                0.43491,                 1.0025,                0.89716,                0.82343,                  0.894,                0.66275,                0.99167,                0.58098,                 1.1454,             1.9877e-05,             1.9877e-05,             1.9877e-05
                    100,                0.73452,                0.43044,                 0.9991,                0.89661,                0.82573,                0.89431,                0.66283,                0.99139,                0.58037,                 1.1452,             1.3273e-05,             1.3273e-05,             1.3273e-05
